MT-ND4L,NDUFB8
MT-ND4L,NDUFS1
MT-ND4L,NDUFS2
MT-ND4L,NDUFS3
MT-ND4L,NDUFS5
MT-ND4L,NDUFS4
MT-ND4L,NDUFS6
MT-ND4L,NDUFS7
MT-ND4L,NDUFV2
MT-ND4L,NDUFV3
MT-ND5,MT-ND2
MT-ND4L,NDUFV1
MT-ND5,MT-ND4
MT-ND5,MT-ND6
MT-ND5,NDUFA1
MT-ND5,NDUFA10
MT-ND5,NDUFA11
MT-ND5,NDUFA12
MT-ND5,NDUFA13
MT-ND5,NDUFA2
MT-ND5,NDUFA4
MT-ND5,NDUFA5
MT-ND5,NDUFA3
MT-ND5,NDUFA6
MT-ND5,NDUFA7
MT-ND5,NDUFA8
MT-ND5,NDUFAB1
MT-ND5,NDUFB1
MT-ND5,NDUFA9
MT-ND5,NDUFB10
MT-ND5,NDUFB11
MT-ND5,NDUFB2
MT-ND5,NDUFB3
MT-ND5,NDUFB4
MT-ND5,NDUFB6
MT-ND5,NDUFB7
MT-ND5,NDUFB8
MT-ND5,NDUFB5
MT-ND5,NDUFB9
MT-ND5,NDUFC1
MT-ND5,NDUFS1
MT-ND5,NDUFC2
MT-ND5,NDUFS2
MT-ND5,NDUFS3
MT-ND5,NDUFS4
MT-ND5,NDUFS5
MT-ND5,NDUFS6
MT-ND5,NDUFS7
MT-ND5,NDUFV1
MT-ND5,NDUFV3
MT-ND5,NDUFV2
MT-ND6,MT-ND4
MT-ND6,NDUFA1
MT-ND6,MT-ND2
MT-ND6,NDUFA10
MT-ND6,NDUFA11
MT-ND6,NDUFA2
MT-ND6,NDUFA13
MT-ND6,NDUFA12
MT-ND6,NDUFA3
MT-ND6,NDUFA4
MT-ND6,NDUFA6
MT-ND6,NDUFA7
MT-ND6,NDUFA8
MT-ND6,NDUFA5
MT-ND6,NDUFA9
MT-ND6,NDUFAB1
MT-ND6,NDUFB1
MT-ND6,NDUFB10
MT-ND6,NDUFB11
MT-ND6,NDUFB2
MT-ND6,NDUFB3
MT-ND6,NDUFB4
MT-ND6,NDUFB5
MT-ND6,NDUFB7
MT-ND6,NDUFB8
MT-ND6,NDUFB6
MT-ND6,NDUFC1
MT-ND6,NDUFC2
MT-ND6,NDUFS4
MT-ND6,NDUFB9
